image_url,type,temperature,direction,distance,magnification,angle
IMG_00001.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00002.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00003.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00004.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00005.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00006.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00007.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00008.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00009.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00010.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00011.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00012.png,01,500,Horizontal,0.0,4000,perpendicular
IMG_00013.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00014.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00015.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00016.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00017.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00018.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00019.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00020.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00021.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00022.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00023.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00024.png,01,500,Horizontal,12.0,4000,perpendicular
IMG_00025.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00026.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00027.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00028.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00029.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00030.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00031.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00032.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00033.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00034.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00035.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00036.png,01,500,Horizontal,15.0,4000,perpendicular
IMG_00037.png,01,500,Horizontal,18.0,4000,perpendicular
IMG_00038.png,01,500,Horizontal,18.0,4000,perpendicular
